Player Name,AVG,G
Ty Cobb,.366,3034
Rogers Hornsby,.358,2259
Shoeless Joe Jackson,.356,1332
Lefty O'Doul,.349,970
Ed Delahanty,.346,1837
Tris Speaker,.345,2789
Billy Hamilton,.344,1594
Ted Williams,.344,2292
Dan Brouthers,.342,1676
Babe Ruth,.342,2503
Dave Orr,.342,791
Harry Heilmann,.342,2147
Pete Browning,.341,1183
Willie Keeler,.341,2123
Bill Terry,.341,1721
George Sisler,.340,2055
Lou Gehrig,.340,2164
Jesse Burkett,.338,2067
Tony Gwynn,.338,2440
Nap Lajoie,.338,2480
Jake Stenzel,.338,768
Riggs Stephenson,.336,1310
Al Simmons,.334,2215
Cap Anson,.334,2524
John McGraw,.334,1100
