Player Name,H,G,H/G
Pete Rose,4256,3562,1.19
Ty Cobb,4189,3034,1.38
Hank Aaron,3771,3298,1.14
Stan Musial,3630,3026,1.20
Tris Speaker,3514,2789,1.26
Derek Jeter,3465,2747,1.26
Cap Anson,3435,2524,1.36
Honus Wagner,3420,2794,1.22
Carl Yastrzemski,3419,3308,1.03
Paul Molitor,3319,2683,1.24
Eddie Collins,3315,2826,1.17
Willie Mays,3283,2992,1.10
Eddie Murray,3255,3026,1.08
Nap Lajoie,3243,2480,1.31
Albert Pujols,3236,2862,1.13
Cal Ripken,3184,3001,1.06
Adrian Beltre,3166,2933,1.08
George Brett,3154,2707,1.17
Paul Waner,3152,2549,1.24
Robin Yount,3142,2856,1.10
Tony Gwynn,3141,2440,1.29
Alex Rodriguez,3115,2784,1.12
Dave Winfield,3110,2973,1.05
Ichiro Suzuki,3089,2653,1.16
Craig Biggio,3060,2850,1.07
