Player Name,PA,G,PA/G
Pete Rose,15861,3562,4.45
Carl Yastrzemski,13991,3308,4.23
Hank Aaron,13940,3298,4.23
Rickey Henderson,13346,3081,4.33
Ty Cobb,13075,3034,4.31
Cal Ripken,12883,3001,4.29
Eddie Murray,12817,3026,4.24
Stan Musial,12712,3026,4.20
Barry Bonds,12606,2986,4.22
Derek Jeter,12602,2747,4.59
Craig Biggio,12503,2850,4.39
Willie Mays,12493,2992,4.18
Albert Pujols,12394,2862,4.33
Dave Winfield,12358,2973,4.16
Robin Yount,12249,2856,4.29
Alex Rodriguez,12207,2784,4.38
Paul Molitor,12160,2683,4.53
Adrian Beltre,12130,2933,4.14
Rafael Palmeiro,12046,2831,4.26
Eddie Collins,12037,2826,4.26
Omar Vizquel,12013,2968,4.05
Tris Speaker,11988,2789,4.30
Brooks Robinson,11782,2896,4.07
Honus Wagner,11748,2794,4.20
Frank Robinson,11743,2808,4.18
