Player Name,SLG,G
Babe Ruth,.690,2503
Ted Williams,.634,2292
Lou Gehrig,.632,2164
Jimmie Foxx,.609,2317
Barry Bonds,.607,2986
Hank Greenberg,.605,1394
Mark McGwire,.588,1874
Manny Ramirez,.585,2302
Mike Trout,.582,1252
Joe DiMaggio,.579,1736
Rogers Hornsby,.577,2259
Larry Walker,.565,1988
Albert Belle,.564,1539
Johnny Mize,.562,1884
Juan Gonzalez,.561,1689
Stan Musial,.559,3026
Willie Mays,.557,2992
Mickey Mantle,.557,2401
Frank Thomas,.555,2322
Hank Aaron,.555,3298
Jim Thome,.554,2543
Vladimir Guerrero,.553,2147
David Ortiz,.552,2408
Alex Rodriguez,.550,2784
Ralph Kiner,.548,1472
