Player Name,BB,G,BB/G
Barry Bonds,2558,2986,0.86
Rickey Henderson,2190,3081,0.71
Babe Ruth,2062,2503,0.82
Ted Williams,2021,2292,0.88
Joe Morgan,1865,2649,0.70
Carl Yastrzemski,1845,3308,0.56
Jim Thome,1747,2543,0.69
Mickey Mantle,1733,2401,0.72
Mel Ott,1708,2730,0.63
Frank Thomas,1667,2322,0.72
Eddie Yost,1614,2109,0.77
Darrell Evans,1605,2687,0.60
Stan Musial,1599,3026,0.53
Pete Rose,1566,3562,0.44
Harmon Killebrew,1559,2435,0.64
Chipper Jones,1512,2499,0.61
Lou Gehrig,1508,2164,0.70
Mike Schmidt,1507,2404,0.63
Eddie Collins,1499,2826,0.53
Bobby Abreu,1476,2425,0.61
Gary Sheffield,1475,2576,0.57
Willie Mays,1464,2992,0.49
Jimmie Foxx,1452,2317,0.63
Eddie Mathews,1444,2391,0.60
Frank Robinson,1420,2808,0.51
