Player Name,G,Start,End
Joe DiMaggio,56,5-15-1941,7-16-1941
Pete Rose,44,6-14-1978,7-31-1978
George Sisler,41,7-27-1922,9-17-1922
Ty Cobb,40,5-15-1911,7-2-1911
Paul Molitor,39,7-16-1987,8-25-1987
Tommy Holmes,37,6-6-1945,7-8-1945
Jimmy Rollins,36,8-23-2005,10-2-2005
Ty Cobb,35,5-31-1917,7-5-1917
Luis Castillo,35,5-8-2002,6-21-2002
Chase Utley,35,6-23-2006,8-3-2006
George Sisler,34,4-14-1925,5-19-1925
George McQuinn,34,7-24-1938,8-25-1938
Dom DiMaggio,34,6-29-1949,8-7-1949
Benito Santiago,34,8-25-1987,10-2-1987
Hal Chase,33,6-24-1907,7-26-1907
Rogers Hornsby,33,8-13-1922,9-19-1922
Heinie Manush,33,7-22-1933,8-25-1933
Dan Uggla,33,7-5-2011,8-13-2011
Nap Lajoie,31,6-4-1906,7-4-1906
Sam Rice,31,8-23-1924,9-24-1924
Willie Davis,31,8-1-1969,9-3-1969
Rico Carty,31,4-8-1970,5-15-1970
Ken Landreaux,31,4-23-1980,5-30-1980
Vladimir Guerrero,31,7-27-1999,8-26-1999
Tris Speaker,30,6-17-1912,7-16-1912
Goose Goslin,30,5-6-1934,6-5-1934
Stan Musial,30,6-27-1950,7-26-1950
Ron LeFlore,30,4-17-1976,5-27-1976
George Brett,30,7-18-1980,8-18-1980
Jerome Walton,30,7-21-1989,8-20-1989
Sandy Alomar,30,5-25-1997,7-6-1997
Nomar Garciaparra,30,7-26-1997,8-29-1997
Eric Davis,30,7-12-1998,8-15-1998
Luis Gonzalez,30,4-11-1999,5-18-1999
Albert Pujols,30,7-12-2003,8-16-2003
Willy Taveras,30,7-27-2006,8-27-2006
Moises Alou,30,8-23-2007,9-26-2007
Ryan Zimmerman,30,4-8-2009,5-12-2009
Andre Ethier,30,4-2-2011,5-6-2011
Freddie Freeman,30,8-24-2016,9-28-2016
Bill Bradley,29,5-17-1902,6-17-1902
Zack Wheat,29,8-20-1916,9-16-1916
Roger Peckinpaugh,29,6-11-1919,7-9-1919
Sam Rice,29,6-11-1920,7-14-1920
Bill Lamar,29,5-30-1925,6-29-1925
Dale Alexander,29,5-13-1930,6-16-1930
Earle Combs,29,4-25-1931,5-30-1931
Pete Fox,29,6-13-1935,7-10-1935
Mel Almada,29,7-12-1938,8-11-1938
Joe Gordon,29,5-13-1942,6-14-1942
Harry Walker,29,7-21-1943,8-18-1943
Ken Boyer,29,8-10-1959,9-12-1959
Rowland Office,29,5-23-1976,6-23-1976
Hal Morris,29,8-27-1996,9-29-1996
Johnny Damon,29,6-10-2005,7-17-2005
Denard Span,29,8-17-2013,9-18-2013
Jackie Bradley,29,4-24-2016,5-25-2016
Sam Crawford,28,7-15-1911,8-13-1911
Shoeless Joe Jackson,28,7-11-1911,8-12-1911
Ken Williams,28,7-27-1922,8-24-1922
Bing Miller,28,5-30-1929,6-27-1929
Sam Rice,28,4-14-1930,5-17-1930
Joe Medwick,28,8-17-1935,9-11-1935
Hal Trosky,28,7-5-1936,8-2-1936
Bob Dillinger,28,8-20-1948,9-15-1948
Red Schoendienst,28,6-11-1954,7-9-1954
Ron Santo,28,5-31-1966,7-4-1966
Wade Boggs,28,6-24-1985,7-25-1985
Marquis Grissom,28,7-25-1996,8-24-1996
Garret Anderson,28,6-28-1998,7-31-1998
Shawn Green,28,6-29-1999,7-31-1999
Gabe Kapler,28,7-17-2000,8-15-2000
Carlos Lee,28,5-13-2004,6-15-2004
Nolan Arenado,28,4-9-2014,5-8-2014
Socks Seybold,27,7-19-1901,8-14-1901
Tillie Walker,27,5-18-1914,6-14-1914
Tris Speaker,27,7-12-1916,8-13-1916
Edd Roush,27,8-27-1920,9-21-1920
Edd Roush,27,5-16-1924,6-25-1924
Hack Wilson,27,6-20-1929,7-20-1929
