Player Name,Team,Game
Fred Clarke,PIT,7-23-1901
Nap Lajoie,PHI,7-30-1901
Fred Clarke,PIT,5-7-1903
Buck Freeman,BOS,6-21-1903
Patsy Dougherty,BOS,7-29-1903
Bill Bradley,CLE,9-24-1903
Duff Cooley,BOS,6-20-1904
Sam Mertes,NY,10-4-1904
Johnny Bates,BOS,4-26-1907
Otis Clymer,WAS,10-2-1908
Chief Wilson,PIT,7-3-1910
Danny Murphy,PHI,8-25-1910
Bill Collins,BOS,10-6-1910
Home Run Baker,PHI,7-3-1911
Tris Speaker,BOS,6-9-1912
Chief Meyers,NY,6-10-1912
Bert Daniels,NY,7-25-1912
Honus Wagner,PIT,8-22-1912
Ed Lennox,PIT,5-6-1914
Heinie Groh,CIN,7-5-1915
Cliff Heathcote,STL,6-13-1918
George Sisler,STL,8-8-1920
George Burns,NY,9-17-1920
Bobby Veach,DET,9-17-1920
Bob Meusel,NY,5-7-1921
Dave Bancroft,NY,6-1-1921
George Sisler,STL,8-13-1921
Dave Robertson,PIT,8-30-1921
Ross Youngs,NY,4-29-1922
Jimmy Johnston,BRO,5-25-1922
Ray Schalk,CHI,6-27-1922
Bob Meusel,NY,7-3-1922
Pie Traynor,PIT,7-7-1923
Baby Doll Jacobson,STL,4-17-1924
Goose Goslin,WAS,8-28-1924
Kiki Cuyler,PIT,6-4-1925
Max Carey,PIT,6-20-1925
Roy Carlyle,BOS,7-21-1925
Bob Fothergill,DET,9-26-1926
Jim Bottomley,STL,7-15-1927
Cy Williams,PHI,8-5-1927
Bill Terry,NY,5-29-1928
Bob Meusel,NY,7-26-1928
Mel Ott,NY,5-16-1929
Ski Melillo,STL,5-23-1929
Joe Cronin,WAS,9-2-1929
Freddie Lindstrom,NY,5-8-1930
Hack Wilson,CHI,6-23-1930
Chick Hafey,STL,8-21-1930
Babe Herman,BRO,5-18-1931
Chuck Klein,PHI,7-1-1931
Babe Herman,BRO,7-24-1931
Tony Lazzeri,NY,6-3-1932
Mickey Cochrane,PHI,7-22-1932
Pepper Martin,STL,5-5-1933
Chuck Klein,PHI,5-26-1933
Arky Vaughan,PIT,6-24-1933
Mickey Cochrane,PHI,8-2-1933
Pinky Higgins,PHI,8-6-1933
Jimmie Foxx,PHI,8-14-1933
Earl Averill,CLE,8-17-1933
Babe Herman,CHI,9-30-1933
Doc Cramer,PHI,6-10-1934
Lou Gehrig,NY,6-25-1934
Moose Solters,BOS,8-19-1934
Joe Medwick,STL,6-29-1935
Sam Leslie,NY,5-24-1936
Gee Walker,DET,4-20-1937
Joe DiMaggio,NY,7-9-1937
Lou Gehrig,NY,8-1-1937
Odell Hale,CLE,7-12-1938
Sam Chapman,PHI,5-5-1939
Charlie Gehringer,DET,5-27-1939
Arky Vaughan,PIT,7-19-1939
Harry Craft,CIN,6-8-1940
Harry Danning,NY,6-15-1940
Johnny Mize,STL,7-13-1940
Buddy Rosar,NY,7-19-1940
Joe Cronin,BOS,8-2-1940
Joe Gordon,NY,9-8-1940
George McQuinn,STL,7-19-1941
Leon Culberson,BOS,7-3-1943
Bobby Doerr,BOS,5-17-1944
Bob Johnson,BOS,7-6-1944
Dixie Walker,BRO,9-2-1944
Bob Elliott,PIT,7-15-1945
Bill Salkeld,PIT,8-4-1945
Mickey Vernon,WAS,5-19-1946
Ted Williams,BOS,7-21-1946
Bobby Doerr,BOS,5-13-1947
Vic Wertz,DET,9-14-1947
Joe DiMaggio,NY,5-20-1948
Wally Westlake,PIT,7-30-1948
Jackie Robinson,BRO,8-29-1948
Wally Westlake,PIT,6-14-1949
Gil Hodges,BRO,6-25-1949
Stan Musial,STL,7-24-1949
George Kell,DET,6-2-1950
Ralph Kiner,PIT,6-25-1950
Roy Smalley,CHI,6-28-1950
Elmer Valo,PHI,8-2-1950
Hoot Evers,DET,9-7-1950
Gus Bell,PIT,6-4-1951
Larry Doby,CLE,6-4-1952
Don Mueller,NY,7-11-1954
Lee Walls,CHI,7-2-1957
Mickey Mantle,NY,7-23-1957
Frank Robinson,CIN,5-2-1959
Brooks Robinson,BAL,7-15-1960
Bill White,STL,8-14-1960
Ken Boyer,STL,9-14-1961
Lou Clinton,BOS,7-13-1962
Johnny Callison,PHI,6-27-1963
Jim Hickman,NY,8-7-1963
Jim King,WAS,5-26-1964
Ken Boyer,STL,6-16-1964
Willie Stargell,PIT,7-22-1964
Jim Fregosi,LA,7-28-1964
Carl Yastrzemski,BOS,5-14-1965
Billy Williams,CHI,7-17-1966
Randy Hundley,CHI,8-11-1966
Jim Fregosi,CAL,5-20-1968
Wes Parker,LA,5-7-1970
Rod Carew,MIN,5-20-1970
Tony Horton,CLE,7-2-1970
Tommie Agee,NY,7-6-1970
Jim Ray Hart,SF,7-8-1970
Freddie Patek,KC,7-9-1971
Dave Kingman,SF,4-16-1972
Cesar Cedeno,HOU,8-2-1972
Bobby Murcer,NY,8-29-1972
Cesar Tovar,MIN,9-19-1972
Joe Torre,STL,6-27-1973
Richie Zisk,PIT,6-9-1974
Lou Brock,STL,5-27-1975
Tim Foli,MON,4-21-1976
Larry Hisle,MIN,6-4-1976
Mike Phillips,NY,6-25-1976
Lyman Bostock,MIN,7-24-1976
Cesar Cedeno,HOU,8-9-1976
Mike Hegan,MIL,9-3-1976
Bob Watson,HOU,6-24-1977
John Mayberry,KC,8-5-1977
Jack Brohamer,CHI,9-24-1977
Andre Thornton,CLE,4-22-1978
Chris Speier,MON,7-20-1978
Mike Cubbage,MIN,7-27-1978
George Brett,KC,5-28-1979
Dan Ford,CAL,8-10-1979
Bob Watson,BOS,9-15-1979
Frank White,KC,9-26-1979
Ivan De Jesus,CHI,4-22-1980
Fred Lynn,BOS,5-13-1980
Mike Easler,PIT,6-12-1980
Gary Ward,MIN,9-18-1980
Charlie Moore,MIL,10-1-1980
Frank White,KC,8-3-1982
Cal Ripken,BAL,5-6-1984
Carlton Fisk,CHI,5-16-1984
Willie McGee,STL,6-23-1984
Dwight Evans,BOS,6-28-1984
Jeffrey Leonard,SF,6-27-1985
Keith Hernandez,NY,7-4-1985
Oddibe McDowell,TEX,7-23-1985
Rich Gedman,BOS,9-18-1985
Tony Phillips,OAK,5-16-1986
Kirby Puckett,MIN,8-1-1986
Andre Dawson,CHI,4-29-1987
Candy Maldonado,SF,5-4-1987
Tim Raines,MON,8-16-1987
Albert Hall,ATL,9-23-1987
Robin Yount,MIL,6-12-1988
Chris Speier,SF,7-9-1988
Mike Greenwell,BOS,9-14-1988
Kelly Gruber,TOR,4-16-1989
Eric Davis,CIN,6-2-1989
Kevin McReynolds,NY,8-1-1989
Gary Redus,PIT,8-25-1989
George Brett,KC,7-25-1990
Robby Thompson,SF,4-22-1991
Paul Molitor,MIL,5-15-1991
Dave Winfield,CAL,6-24-1991
Ray Lankford,STL,9-15-1991
Andujar Cedeno,HOU,8-25-1992
Mark Grace,CHI,5-9-1993
Jay Buhner,SEA,6-23-1993
Travis Fryman,DET,7-28-1993
Scott Cooper,BOS,4-12-1994
Rondell White,MON,6-11-1995
Gregg Jefferies,PHI,8-25-1995
Tony Fernandez,NY,9-3-1995
John Mabry,STL,5-18-1996
John Valentin,BOS,6-6-1996
Alex Ochoa,NY,7-3-1996
Alex Rodriguez,SEA,6-5-1997
John Olerud,NY,9-11-1997
Mike Blowers,OAK,5-18-1998
Dante Bichette,COL,6-10-1998
Neifi Perez,COL,7-25-1998
Jeff Kent,SF,5-3-1999
Todd Helton,COL,6-19-1999
Chris Singleton,CHI,7-6-1999
Jose Valentin,CHI,4-27-2000
Jason Kendall,PIT,5-19-2000
Mike Lansing,COL,6-18-2000
Eric Chavez,OAK,6-21-2000
Luis Gonzalez,ARI,7-5-2000
Damion Easley,DET,6-8-2001
