Player Name,Team,RBI,Game
Jim Bottomley,STL,12,9-16-1924
Mark Whiten,STL,12,9-7-1993
Tony Lazzeri,NY,11,5-24-1936
Phil Weintraub,NY,11,4-30-1944
Rudy York,BOS,10,7-27-1946
Walker Cooper,CIN,10,7-6-1949
Norm Zauchin,BOS,10,5-27-1955
Reggie Jackson,OAK,10,6-14-1969
Fred Lynn,BOS,10,6-18-1975
Nomar Garciaparra,BOS,10,5-10-1999
Alex Rodriguez,NY,10,4-26-2005
Garret Anderson,ANA,10,8-21-2007
Scooter Gennett,CIN,10,6-6-2017
Anthony Rendon,WAS,10,4-30-2017
Mark Reynolds,WAS,10,7-7-2018
Heinie Zimmerman,CHI,9,6-11-1911
Irish Meusel,NY,9,9-2-1925
Jimmie Foxx,PHI,9,8-14-1933
Johnny Rizzo,PIT,9,5-30-1939
Jim Tabor,BOS,9,7-4-1939
Gil Hodges,BRO,9,8-31-1950
Smoky Burgess,CIN,9,7-29-1955
Jackie Jensen,BOS,9,8-2-1956
Jim Gentile,BAL,9,5-9-1961
Tony Cloninger,ATL,9,7-3-1966
Roy Howell,TOR,9,9-10-1977
Eddie Murray,BAL,9,8-26-1985
Chris James,CLE,9,5-4-1991
Danny Tartabull,NY,9,9-8-1992
Mike Greenwell,BOS,9,9-2-1996
Ivan Rodriguez,TEX,9,4-13-1999
Erubiel Durazo,ARI,9,5-17-2002
Sammy Sosa,CHI,9,8-10-2002
Bill Mueller,BOS,9,7-29-2003
Vladimir Guerrero,ANA,9,6-2-2004
James Loney,LA,9,9-28-2006
Carlos Delgado,NY,9,6-27-2008
Lonnie Chisenhall,CLE,9,6-9-2014
Edwin Encarnacion,TOR,9,8-29-2015
Mike Moustakas,KC,9,9-12-2015
Adam Duvall,ATL,9,9-9-2020
