Player Name,CG,G,CG%
Cy Young,749,906,0.83
Pud Galvin,646,705,0.92
Tim Keefe,554,600,0.92
Kid Nichols,532,621,0.86
Walter Johnson,531,802,0.66
Bobby Mathews,525,578,0.91
Mickey Welch,525,565,0.93
Old Hoss Radbourn,488,527,0.93
John Clarkson,485,531,0.91
Tony Mullane,468,555,0.84
Jim McCormick,466,492,0.95
Gus Weyhing,449,540,0.83
Pete Alexander,436,696,0.63
Christy Mathewson,435,636,0.68
Jack Powell,422,578,0.73
Eddie Plank,410,623,0.66
Will White,394,403,0.98
Amos Rusie,393,463,0.85
Vic Willis,388,513,0.76
Tommy Bond,386,417,0.93
Warren Spahn,382,750,0.51
Jim Whitney,377,413,0.91
Adonis Terry,367,440,0.83
Ted Lyons,356,594,0.60
George Mullin,353,487,0.72
