Player Name,ERA,G
Ed Walsh,1.82,430
Addie Joss,1.89,286
Mordecai Brown,2.06,481
Monte Ward,2.10,293
Al Spalding,2.13,347
Christy Mathewson,2.13,636
Tommy Bond,2.14,417
Rube Waddell,2.16,407
Walter Johnson,2.17,802
Orval Overall,2.26,218
Will White,2.28,403
Ed Reulbach,2.28,399
Jim Scott,2.30,317
Eddie Plank,2.35,623
Larry Corcoran,2.36,277
Eddie Cicotte,2.38,502
George McQuillan,2.38,273
Ed Killian,2.38,214
Doc White,2.39,427
Nap Rucker,2.42,336
Candy Cummings,2.42,242
Jeff Tesreau,2.43,247
Jim McCormick,2.43,492
George Bradley,2.43,347
Clayton Kershaw,2.43,357
