Player Name,GF,G,GF%
Mariano Rivera,952,1115,0.85
Trevor Hoffman,856,1035,0.83
Lee Smith,802,1022,0.78
John Franco,774,1119,0.69
Rollie Fingers,709,944,0.75
Billy Wagner,703,853,0.82
Jeff Reardon,695,880,0.79
Rich Gossage,681,1002,0.68
Francisco Rodriguez,677,948,0.71
Roberto Hernandez,667,1010,0.66
Hoyt Wilhelm,651,1070,0.61
Doug Jones,640,846,0.76
Kent Tekulve,638,1050,0.61
Sparky Lyle,634,899,0.71
Jose Mesa,633,1022,0.62
Todd Jones,619,982,0.63
Gene Garber,609,931,0.65
Fernando Rodney,590,951,0.62
Joe Nathan,587,787,0.75
Jonathan Papelbon,585,689,0.85
Dennis Eckersley,577,1071,0.54
Lindy McDaniel,577,987,0.58
Francisco Cordero,575,800,0.72
Roy Face,574,848,0.68
Rick Aguilera,557,732,0.76
