Player Name,GS,G,GS%
Cy Young,815,906,0.90
Nolan Ryan,773,807,0.96
Don Sutton,756,774,0.98
Greg Maddux,740,744,0.99
Phil Niekro,716,864,0.83
Steve Carlton,709,741,0.96
Roger Clemens,707,709,1.00
Tommy John,700,760,0.92
Gaylord Perry,690,777,0.89
Pud Galvin,688,705,0.98
Bert Blyleven,685,692,0.99
Tom Glavine,682,682,1.00
Walter Johnson,666,802,0.83
Warren Spahn,665,750,0.89
Tom Seaver,647,656,0.99
Jamie Moyer,638,696,0.92
Jim Kaat,625,898,0.70
Frank Tanana,616,638,0.97
Early Wynn,611,691,0.88
Robin Roberts,609,676,0.90
Randy Johnson,603,618,0.98
Pete Alexander,600,696,0.86
Fergie Jenkins,594,664,0.89
Tim Keefe,594,600,0.99
Bobby Mathews,568,578,0.98
