Player Name,HBP,G,HBP/G
Gus Weyhing,277,540,0.51
Chick Fraser,219,434,0.50
Pink Hawley,210,393,0.53
Walter Johnson,205,802,0.26
Randy Johnson,190,618,0.31
Eddie Plank,190,623,0.30
Tim Wakefield,186,627,0.30
Tony Mullane,185,555,0.33
Joe McGinnity,179,465,0.38
Charlie Hough,174,858,0.20
Clark Griffith,171,453,0.38
Cy Young,161,906,0.18
Jim Bunning,160,591,0.27
Roger Clemens,159,709,0.22
Nolan Ryan,158,807,0.20
Vic Willis,156,513,0.30
Bert Blyleven,155,692,0.22
Jamey Wright,155,719,0.22
Don Drysdale,154,518,0.30
Bert Cunningham,148,342,0.43
Adonis Terry,148,440,0.34
Silver King,146,397,0.37
Jamie Moyer,146,696,0.21
Win Mercer,144,335,0.43
A.J. Burnett,143,435,0.33
