Player Name,H,G,H/G
Cy Young,7092,906,7.83
Pud Galvin,6405,705,9.09
Bobby Mathews,5601,578,9.69
Phil Niekro,5044,864,5.84
Gaylord Perry,4938,777,6.36
Kid Nichols,4929,621,7.94
Walter Johnson,4913,802,6.13
Pete Alexander,4868,696,6.99
Warren Spahn,4830,750,6.44
Tommy John,4783,760,6.29
Greg Maddux,4726,744,6.35
Don Sutton,4692,774,6.06
Steve Carlton,4672,741,6.30
Eppa Rixey,4633,692,6.70
Bert Blyleven,4632,692,6.69
Jim Kaat,4620,898,5.14
Mickey Welch,4588,565,8.12
Robin Roberts,4582,676,6.78
Gus Weyhing,4576,540,8.47
Ted Lyons,4489,594,7.56
Tim Keefe,4438,600,7.40
Burleigh Grimes,4412,616,7.16
Old Hoss Radbourn,4328,527,8.21
Jack Powell,4319,578,7.47
Tom Glavine,4298,682,6.30
