Player Name,R,G,R/G
Bobby Mathews,3497,578,6.05
Pud Galvin,3352,705,4.75
Cy Young,3167,906,3.50
Gus Weyhing,2796,540,5.18
Mickey Welch,2556,565,4.52
Tony Mullane,2523,555,4.55
Kid Nichols,2480,621,3.99
Tim Keefe,2470,600,4.12
John Clarkson,2384,531,4.49
Phil Niekro,2337,864,2.70
Adonis Terry,2303,440,5.23
Old Hoss Radbourn,2273,527,4.31
Nolan Ryan,2178,807,2.70
Steve Carlton,2130,741,2.87
Gaylord Perry,2128,777,2.74
Red Ruffing,2115,624,3.39
Don Sutton,2104,774,2.72
Jim McCormick,2095,492,4.26
Jamie Moyer,2076,696,2.98
Amos Rusie,2068,463,4.47
Ted Lyons,2056,594,3.46
Burleigh Grimes,2050,616,3.33
Jim Kaat,2038,898,2.27
Early Wynn,2037,691,2.95
Bert Blyleven,2029,692,2.93
