Player Name,SV,G,SV%
Mariano Rivera,652,1115,0.58
Trevor Hoffman,601,1035,0.58
Lee Smith,478,1022,0.47
Francisco Rodriguez,437,948,0.46
John Franco,424,1119,0.38
Billy Wagner,422,853,0.49
Dennis Eckersley,390,1071,0.36
Joe Nathan,377,787,0.48
Jonathan Papelbon,368,689,0.53
Jeff Reardon,367,880,0.42
Troy Percival,358,703,0.51
Craig Kimbrel,348,583,0.60
Randy Myers,347,728,0.48
Rollie Fingers,341,944,0.36
John Wetteland,330,618,0.53
Francisco Cordero,329,800,0.41
Fernando Rodney,327,951,0.34
Roberto Hernandez,326,1010,0.32
Huston Street,324,668,0.49
Jose Mesa,321,1022,0.31
Todd Jones,319,982,0.32
Rick Aguilera,318,732,0.43
Robb Nen,314,643,0.49
Kenley Jansen,312,632,0.49
Tom Henke,311,642,0.48
