Player Name,SO,G,SO/G
Nolan Ryan,5714,807,7.08
Randy Johnson,4875,618,7.89
Roger Clemens,4672,709,6.59
Steve Carlton,4136,741,5.58
Bert Blyleven,3701,692,5.35
Tom Seaver,3640,656,5.55
Don Sutton,3574,774,4.62
Gaylord Perry,3534,777,4.55
Walter Johnson,3509,802,4.38
Greg Maddux,3371,744,4.53
Phil Niekro,3342,864,3.87
Fergie Jenkins,3192,664,4.81
Pedro Martinez,3154,476,6.63
Bob Gibson,3117,528,5.90
Curt Schilling,3116,569,5.48
CC Sabathia,3093,561,5.51
John Smoltz,3084,723,4.27
Justin Verlander,3013,454,6.64
Jim Bunning,2855,591,4.83
Mickey Lolich,2832,586,4.83
Mike Mussina,2813,537,5.24
Cy Young,2803,906,3.09
Max Scherzer,2784,377,7.38
Frank Tanana,2773,638,4.35
Zack Greinke,2689,500,5.38
