Player Name,WP,G,WP/G
Tony Mullane,343,555,0.62
Nolan Ryan,277,807,0.34
Mickey Welch,274,565,0.48
Bobby Mathews,253,578,0.44
Tim Keefe,240,600,0.40
Gus Weyhing,240,540,0.44
Phil Niekro,226,864,0.26
Mark Baldwin,221,346,0.64
Pud Galvin,221,705,0.31
Will White,221,403,0.55
Old Hoss Radbourn,214,527,0.41
Jim Whitney,214,413,0.52
Jack Morris,206,549,0.38
Adonis Terry,206,440,0.47
Matt Kilroy,203,303,0.67
George Bradley,189,347,0.54
Tommy John,187,760,0.25
Steve Carlton,183,741,0.25
John Clarkson,182,531,0.34
Charlie Hough,179,858,0.21
Toad Ramsey,179,248,0.72
Hardie Henderson,178,210,0.85
Charlie Buffinton,174,414,0.42
Joe Niekro,172,702,0.25
Kid Nichols,169,621,0.27
