Player Name,Team,IP,Game
Leon Cadore,BRO,26,5-1-1920
Joe Oeschger,BOS,26,5-1-1920
Jack Coombs,PHI,24,9-1-1906
Joe Harris,BOS,24,9-1-1906
Bob Smith,BOS,22,5-17-1927
Babe Adams,PIT,21,7-17-1914
Rube Marquard,NY,21,7-17-1914
Art Nehf,BOS,21,8-1-1918
Lefty Tyler,CHI,21,7-17-1918
Ted Lyons,CHI,21,5-24-1929
Ed Reulbach,CHI,20,8-24-1905
Tully Sparks,PHI,20,8-24-1905
Rube Waddell,PHI,20,7-4-1905
Cy Young,BOS,20,7-4-1905
Milt Watson,PHI,20,7-17-1918
Burleigh Grimes,BRO,20,4-30-1919
Joe Oeschger,PHI,20,4-30-1919
George Uhle,DET,20,5-24-1929
Les Mueller,DET,19.2,7-21-1945
