Player Name,Team,R,Game
Allan Travers,DET,24,5-18-1912
Jack Katoll,BAL,23,9-2-1902
Jack Bracken,CLE,21,9-15-1901
Doc Parker,CIN,21,6-21-1901
Roy Patterson,CHI,21,5-5-1901
George LeClair,PIT,21,8-16-1914
Bob Groom,WAS,20,5-11-1911
Tom Sheehan,PHI,20,9-29-1915
Bill Phillips,CIN,19,6-24-1901
Al Orth,WAS,19,5-7-1903
Bill Bernhard,PHI,18,5-2-1901
Archie Stimmel,CIN,18,9-23-1901
Burt Keeley,WAS,18,8-8-1908
Cy Falkenberg,CLE,18,8-16-1910
Pete Dowling,CLE,17,8-12-1901
Roscoe Miller,DET,17,6-24-1901
Casey Patten,WAS,17,7-24-1901
Jack Harper,STL,17,6-30-1902
Bill Duggleby,PHI,17,9-19-1903
Mike O'Neill,STL,17,5-31-1903
Ed Lafitte,DET,17,10-8-1911
Howard Ehmke,BOS,17,9-28-1923
Hod Lisenbee,PHI,17,9-11-1936
