Player Name,Inn,Start,End
Orel Hershiser,59.1,8-30-1988,9-28-1988
Don Drysdale,58.1,5-14-1968,6-8-1968
Walter Johnson,55.2,4-10-1913,5-14-1913
Jack Coombs,53,9-5-1910,9-25-1910
Bob Gibson,48.2,6-2-1968,7-1-1968
Carl Hubbell,46.2,7-13-1933,8-1-1933
Zack Greinke,46,6-13-2015,7-26-2015
Sal Maglie,45.2,8-16-1950,9-13-1950
Doc White,45,9-12-1904,9-30-1904
Cy Young,45,4-25-1904,5-17-1904
Ed Reulbach,44,9-17-1908,10-3-1908
Rube Waddell,43.2,8-22-1905,9-5-1905
Brandon Webb,42.2,7-20-2007,8-22-2007
Rube Foster,42,5-1-1914,5-26-1914
Ted Lyons,42,8-9-1926,8-26-1926
Luis Tiant,42,4-20-1968,5-17-1968
Clayton Kershaw,42,6-13-2014,7-10-2014
Jack Chesbro,41,6-26-1902,7-16-1902
Pete Alexander,41,9-7-1911,9-24-1911
Art Nehf,41,9-13-1917,10-4-1917
Luis Tiant,40.1,8-19-1972,9-8-1972
Kenny Rogers,40.1,5-6-1995,6-1-1995
Greg Maddux,40.1,9-2-2000,9-28-2000
Walter Johnson,40,5-7-1918,5-26-1918
Billy Pierce,40,7-29-1953,8-19-1953
Gaylord Perry,40,8-28-1967,9-10-1967
Ray Culp,40,9-7-1968,9-29-1968
Gaylord Perry,40,9-1-1970,9-23-1970
Mordecai Brown,39.2,6-8-1908,7-8-1908
Don Newcombe,39.2,7-25-1956,8-11-1956
Jim Bagby,39.1,6-30-1917,7-16-1917
Brad Ziegler,39.1,5-31-2008,8-14-2008
Christy Mathewson,39,5-3-1901,5-21-1901
Al Orth,39,6-29-1905,7-21-1905
Ed Walsh,39,8-10-1906,8-22-1906
Barney Pelty,39,6-6-1907,6-22-1907
Bill Lee,39,9-5-1938,9-26-1938
Craig Kimbrel,39,6-11-2011,9-9-2011
Mike Torrez,38.1,8-29-1976,9-15-1976
Ray Herbert,38,5-1-1963,5-19-1963
Jimmy Lavender,37.2,6-25-1912,7-8-1912
Harvey Haddix,37.2,6-4-1954,6-23-1954
Clayton Kershaw,37.2,7-3-2015,8-1-2015
Hank Thormahlen,37.1,4-26-1918,5-27-1918
Charlie Hough,37.1,8-23-1983,9-14-1983
Cy Young,37,6-13-1903,7-1-1903
Walter Johnson,37,6-27-1913,7-13-1913
Joe Horlen,37,5-11-1968,5-29-1968
J.C. Romero,37,6-11-2004,9-12-2004
Ed Walsh,36.2,8-4-1910,8-14-1910
Jim McGlothlin,36.2,5-22-1967,6-11-1967
Babe Adams,36,7-28-1910,8-13-1910
Hal Brown,36,7-7-1961,8-8-1961
Don Sutton,36,9-10-1972,10-3-1972
Fernando Valenzuela,36,4-14-1981,5-3-1981
Stephen Strasburg,36,8-19-2017,9-17-2017
Chris Sale,35.2,7-6-2018,9-21-2018
Bill Lee,35.1,5-23-1938,6-7-1938
Johnny Humphries,35.1,7-19-1941,8-30-1941
Pedro Martinez,35.1,7-25-2002,8-16-2002
Kris Medlen,35.1,8-11-2012,9-3-2012
Sam Leever,35,5-30-1903,6-19-1903
Rube Waddell,35,5-20-1909,6-3-1909
Doc White,35,4-27-1909,5-13-1909
Cy Falkenberg,35,8-24-1913,9-6-1913
Bob Feller,35,7-31-1946,8-13-1946
Nolan Ryan,34.2,8-18-1972,9-4-1972
John Denny,34.2,8-28-1981,9-10-1981
Yovani Gallardo,34.2,6-10-2015,7-7-2015
Jack Harshman,34.1,8-3-1954,8-19-1954
Billy Pierce,34.1,6-13-1958,7-1-1958
Orel Hershiser,34.1,6-29-1984,7-24-1984
Mark Langston,34.1,9-14-1988,9-29-1988
Roger Clemens,34.1,8-15-1998,9-5-1998
Cliff Lee,34.1,6-11-2011,7-3-2011
Michael Fulmer,34.1,5-21-2016,6-17-2016
Doc White,34,6-30-1906,7-21-1906
Babe Adams,34,8-10-1909,9-2-1909
Harry Krause,34,6-23-1909,7-8-1909
Chief Bender,34,7-25-1911,8-7-1911
