Player Name,Team,SO,Game
Tom Cheney,WAS,21,9-12-1962
Roger Clemens,BOS,20,4-29-1986
Roger Clemens,BOS,20,9-18-1996
Kerry Wood,CHI,20,5-6-1998
Randy Johnson,ARI,20,5-8-2001
Max Scherzer,WAS,20,5-11-2016
Luis Tiant,CLE,19,7-3-1968
Steve Carlton,STL,19,9-15-1969
Tom Seaver,NY,19,4-22-1970
Nolan Ryan,CAL,19,6-14-1974
Nolan Ryan,CAL,19,8-12-1974
Nolan Ryan,CAL,19,8-20-1974
Nolan Ryan,CAL,19,6-8-1977
David Cone,NY,19,10-6-1991
Randy Johnson,SEA,19,6-24-1997
Randy Johnson,SEA,19,8-8-1997
Jack Coombs,PHI,18,9-1-1906
Jack Coombs,PHI,18,8-4-1910
Bob Feller,CLE,18,10-2-1938
Warren Spahn,BOS,18,6-14-1952
Sandy Koufax,LA,18,8-31-1959
Sandy Koufax,LA,18,4-24-1962
Jim Maloney,CIN,18,6-14-1965
Chris Short,PHI,18,10-2-1965
Don Wilson,HOU,18,7-14-1968
Nolan Ryan,CAL,18,9-10-1976
Ron Guidry,NY,18,6-17-1978
Bill Gullickson,MON,18,9-10-1980
Ramon Martinez,LA,18,6-4-1990
Randy Johnson,SEA,18,9-27-1992
Roger Clemens,TOR,18,8-25-1998
Ben Sheets,MIL,18,5-16-2004
Corey Kluber,CLE,18,5-13-2015
