Player ID,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BFW
aaroh101,3298.0,12364.0,2174.0,3771.0,624.0,98.0,755.0,2297.0,1402.0,293.0,1383.0,32.0,21.0,121.0,0.0,222.0,328.0,240.0,73.0,0.305,0.374,0.555,83.7
aarot101,437.0,944.0,102.0,216.0,42.0,6.0,13.0,94.0,86.0,3.0,145.0,0.0,9.0,6.0,1.0,15.0,36.0,9.0,8.0,0.229,0.292,0.327,-5.2
abada001,15.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.095,0.24,0.095,-0.5
abboj002,233.0,596.0,82.0,157.0,33.0,2.0,18.0,83.0,38.0,2.0,91.0,3.0,5.0,7.0,2.0,6.0,12.0,6.0,5.0,0.263,0.307,0.416,-2.7
abbok002,702.0,2044.0,273.0,523.0,109.0,23.0,62.0,242.0,133.0,11.0,571.0,17.0,21.0,12.0,0.0,21.0,37.0,22.0,11.0,0.256,0.305,0.423,-6.1
aberb001,232.0,868.0,97.0,212.0,36.0,5.0,8.0,79.0,60.0,1.0,93.0,7.0,16.0,4.0,0.0,13.0,15.0,21.0,7.0,0.244,0.297,0.325,-4.2
aberr001,180.0,386.0,65.0,86.0,20.0,2.0,9.0,34.0,21.0,2.0,123.0,7.0,5.0,2.0,0.0,10.0,3.0,18.0,8.0,0.223,0.274,0.355,-1.3
abnes001,392.0,840.0,89.0,191.0,39.0,4.0,11.0,71.0,43.0,10.0,153.0,7.0,5.0,7.0,0.0,18.0,14.0,6.0,8.0,0.227,0.269,0.323,-4.7
abrac101,567.0,1611.0,257.0,433.0,64.0,19.0,32.0,138.0,304.0,11.0,290.0,7.0,16.0,4.0,0.0,31.0,22.0,12.0,20.0,0.269,0.386,0.392,2.6
abreb001,2425.0,8480.0,1453.0,2470.0,574.0,59.0,288.0,1363.0,1476.0,115.0,1840.0,33.0,7.0,85.0,0.0,81.0,165.0,400.0,128.0,0.291,0.395,0.475,33.6
abrej003,961.0,3787.0,526.0,1114.0,233.0,14.0,198.0,671.0,263.0,51.0,835.0,83.0,0.0,35.0,0.0,49.0,120.0,10.0,5.0,0.294,0.35,0.52,12.4
abret001,224.0,579.0,61.0,147.0,39.0,6.0,6.0,60.0,22.0,2.0,116.0,5.0,1.0,8.0,0.0,4.0,20.0,2.0,4.0,0.254,0.283,0.373,-1.4
ackld001,635.0,2125.0,261.0,512.0,94.0,18.0,46.0,216.0,194.0,10.0,419.0,5.0,11.0,12.0,0.0,23.0,25.0,31.0,12.0,0.241,0.304,0.367,-4.2
acunr001,313.0,1219.0,251.0,342.0,59.0,6.0,81.0,194.0,159.0,8.0,371.0,19.0,0.0,4.0,3.0,19.0,15.0,61.0,15.0,0.281,0.371,0.538,5.7
adaij101,1165.0,4019.0,378.0,1022.0,163.0,19.0,57.0,366.0,208.0,31.0,499.0,17.0,41.0,30.0,0.0,70.0,149.0,29.0,29.0,0.254,0.292,0.347,-4.6
adamb103,1281.0,4019.0,591.0,1082.0,188.0,49.0,37.0,303.0,414.0,8.0,447.0,17.0,78.0,5.0,0.0,88.0,62.0,67.0,43.0,0.269,0.34,0.368,-3.6
adamc001,176.0,328.0,32.0,70.0,9.0,4.0,2.0,22.0,30.0,1.0,77.0,5.0,4.0,0.0,0.0,4.0,6.0,2.0,4.0,0.213,0.289,0.284,-1.8
adamg101,661.0,1617.0,152.0,452.0,79.0,5.0,34.0,225.0,111.0,8.0,183.0,4.0,9.0,19.0,5.0,31.0,47.0,6.0,10.0,0.28,0.324,0.398,-3.6
adaml001,117.0,137.0,30.0,36.0,5.0,1.0,7.0,26.0,14.0,0.0,47.0,1.0,1.0,1.0,0.0,2.0,4.0,11.0,0.0,0.263,0.333,0.467,0.4
adamm102,100.0,118.0,27.0,23.0,5.0,0.0,3.0,9.0,32.0,0.0,29.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.195,0.375,0.314,-0.3
adamm002,834.0,2385.0,294.0,618.0,129.0,6.0,118.0,397.0,161.0,16.0,634.0,12.0,0.0,16.0,0.0,18.0,48.0,4.0,4.0,0.259,0.307,0.467,-3.3
adamr001,120.0,247.0,35.0,53.0,5.0,1.0,4.0,16.0,10.0,3.0,37.0,5.0,7.0,0.0,0.0,6.0,5.0,3.0,2.0,0.215,0.26,0.291,0.1
adamr002,286.0,884.0,125.0,218.0,46.0,7.0,17.0,113.0,85.0,2.0,118.0,5.0,8.0,11.0,0.0,14.0,14.0,15.0,5.0,0.247,0.313,0.372,-5.6
adamw002,291.0,1004.0,141.0,263.0,47.0,2.0,38.0,109.0,97.0,4.0,322.0,4.0,4.0,3.0,0.0,15.0,19.0,12.0,8.0,0.262,0.329,0.426,1.7
adcoj101,1959.0,6606.0,823.0,1832.0,295.0,35.0,336.0,1122.0,594.0,62.0,1059.0,17.0,52.0,35.0,0.0,110.0,223.0,20.0,31.0,0.277,0.337,0.485,8.6
adduj002,151.0,396.0,48.0,92.0,18.0,4.0,5.0,39.0,29.0,0.0,111.0,0.0,3.0,3.0,0.0,5.0,5.0,7.0,2.0,0.232,0.283,0.336,-2.2
adled101,106.0,256.0,9.0,43.0,3.0,1.0,1.0,11.0,18.0,5.0,80.0,2.0,2.0,1.0,0.0,3.0,9.0,0.0,0.0,0.168,0.227,0.199,-3.9
adrie001,466.0,1079.0,143.0,263.0,63.0,7.0,16.0,114.0,94.0,5.0,230.0,16.0,16.0,13.0,2.0,11.0,14.0,18.0,8.0,0.244,0.31,0.36,-1.5
afent001,45.0,79.0,4.0,15.0,2.0,2.0,0.0,7.0,5.0,0.0,32.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.19,0.235,0.266,-1.5
agbab001,383.0,1091.0,145.0,299.0,57.0,6.0,39.0,156.0,139.0,7.0,246.0,15.0,1.0,8.0,1.0,9.0,31.0,16.0,16.0,0.274,0.362,0.445,-0.3
ageet101,1129.0,3912.0,558.0,999.0,170.0,27.0,130.0,433.0,342.0,26.0,918.0,34.0,21.0,15.0,0.0,65.0,99.0,167.0,81.0,0.255,0.32,0.412,1.1
aggah101,157.0,517.0,65.0,135.0,23.0,9.0,11.0,67.0,57.0,1.0,67.0,0.0,7.0,6.0,0.0,9.0,9.0,8.0,3.0,0.261,0.331,0.404,-1.0
agual001,568.0,1104.0,142.0,260.0,43.0,10.0,37.0,109.0,94.0,12.0,220.0,20.0,14.0,12.0,0.0,13.0,27.0,7.0,5.0,0.236,0.304,0.393,-1.4
aguic001,149.0,230.0,26.0,53.0,13.0,2.0,3.0,16.0,16.0,1.0,61.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,0.23,0.28,0.343,-1.2
aguij001,499.0,1331.0,192.0,345.0,63.0,2.0,71.0,249.0,153.0,4.0,379.0,14.0,0.0,25.0,3.0,13.0,45.0,0.0,1.0,0.259,0.336,0.47,0.7
ahmen001,670.0,2213.0,277.0,528.0,112.0,20.0,60.0,260.0,167.0,11.0,456.0,12.0,11.0,23.0,0.0,33.0,54.0,29.0,18.0,0.239,0.293,0.389,2.9
aikew001,774.0,2492.0,301.0,675.0,125.0,2.0,110.0,415.0,319.0,42.0,444.0,18.0,0.0,27.0,0.0,25.0,87.0,3.0,6.0,0.271,0.354,0.455,2.8
aingd101,211.0,665.0,57.0,146.0,19.0,4.0,2.0,37.0,37.0,2.0,128.0,4.0,12.0,3.0,0.0,5.0,16.0,12.0,5.0,0.22,0.264,0.269,-4.2
albeh001,282.0,925.0,111.0,257.0,41.0,3.0,15.0,82.0,25.0,1.0,118.0,7.0,11.0,5.0,0.0,23.0,18.0,9.0,5.0,0.278,0.3,0.377,0.0
albio001,404.0,1614.0,262.0,450.0,97.0,18.0,60.0,205.0,116.0,6.0,294.0,13.0,2.0,9.0,0.0,22.0,14.0,40.0,9.0,0.279,0.33,0.473,2.3
alcaa001,167.0,428.0,51.0,81.0,15.0,3.0,11.0,39.0,24.0,0.0,150.0,2.0,3.0,2.0,0.0,2.0,6.0,14.0,8.0,0.189,0.235,0.315,-3.4
alcai001,51.0,115.0,15.0,31.0,3.0,0.0,6.0,15.0,6.0,0.0,26.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.27,0.306,0.452,-0.6
alcal101,115.0,365.0,30.0,70.0,9.0,2.0,4.0,29.0,21.0,2.0,58.0,0.0,2.0,2.0,1.0,4.0,7.0,2.0,2.0,0.192,0.235,0.26,-3.9
aldrc001,13.0,18.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.056,0.056,0.167,-0.5
aldrm001,930.0,2147.0,277.0,565.0,104.0,9.0,41.0,271.0,314.0,29.0,381.0,5.0,14.0,18.0,0.0,28.0,43.0,19.0,18.0,0.263,0.356,0.377,-0.9
