Player ID,G,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,RS,PW
aardd001,331.0,0.0,0.0,0.0,141.0,69.0,337.0,296.0,1475.0,41.0,169.0,160.0,183.0,22.0,340.0,17.0,11.0,12.0,16.0,1.0,61.0,4.0,21.0,8.0,16.0,18.0,4.27,0,2.1
aased001,448.0,91.0,22.0,5.0,235.0,82.0,1109.1,1085.0,4730.0,89.0,503.0,468.0,457.0,45.0,641.0,50.0,34.0,22.0,7.0,3.0,192.0,28.0,106.0,57.0,66.0,60.0,3.8,4.56,4.5
abadf001,384.0,6.0,0.0,0.0,97.0,2.0,330.2,309.0,1399.0,42.0,143.0,135.0,116.0,10.0,280.0,7.0,12.0,10.0,12.0,2.0,52.0,5.0,25.0,17.0,8.0,29.0,3.67,1.67,0.4
abbog001,248.0,206.0,37.0,5.0,13.0,0.0,1286.0,1405.0,5508.0,162.0,707.0,627.0,352.0,28.0,484.0,60.0,39.0,18.0,32.0,5.0,259.0,39.0,111.0,81.0,62.0,83.0,4.39,4.23,-7.4
abboj001,263.0,254.0,31.0,6.0,5.0,0.0,1674.0,1779.0,7211.0,154.0,880.0,791.0,620.0,30.0,888.0,70.0,47.0,53.0,32.0,11.0,293.0,18.0,200.0,112.0,87.0,108.0,4.25,4.26,0.1
abbok001,57.0,22.0,0.0,0.0,4.0,0.0,185.1,207.0,815.0,26.0,112.0,107.0,79.0,0.0,124.0,10.0,6.0,13.0,2.0,3.0,27.0,9.0,18.0,7.0,4.0,17.0,5.2,3.09,-3.4
abbop001,162.0,112.0,1.0,0.0,17.0,0.0,720.2,682.0,3187.0,101.0,421.0,394.0,393.0,17.0,496.0,19.0,22.0,37.0,21.0,0.0,145.0,11.0,51.0,26.0,43.0,37.0,4.92,5.17,-3.5
abera101,168.0,30.0,7.0,0.0,76.0,14.0,389.1,398.0,1698.0,29.0,205.0,181.0,160.0,13.0,169.0,43.0,8.0,8.0,6.0,0.0,57.0,13.0,37.0,28.0,24.0,25.0,4.18,4.33,-2.2
abreb002,11.0,0.0,0.0,0.0,3.0,0.0,12.0,5.0,52.0,0.0,3.0,2.0,10.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.5,0,0.2
abrew001,38.0,0.0,0.0,0.0,6.0,0.0,44.1,57.0,207.0,10.0,39.0,36.0,19.0,2.0,38.0,1.0,2.0,2.0,2.0,1.0,15.0,0.0,6.0,3.0,0.0,1.0,7.31,0,-0.7
