Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year,Category
Kwon Alexander,TAM,22,MLB,16,16,1,38,1,38,7,1,0,1,4,0,3.0,145,108,37,12,7,,2016,defense
Landon Collins*+,NYG,22,SS,16,16,5,72,1,44,13,0,0,1,6,0,4.0,125,100,25,9,5,,2016,defense
Telvin Smith,JAX,25,LLB,16,16,2,0,0,0,8,0,0,1,0,0,1.0,119,99,20,14,2,,2016,defense
Alec Ogletree,LAR,25,MLB,16,16,2,15,0,8,11,1,0,1,0,0,0.0,136,98,38,9,3,,2016,defense
Zach Brown*,BUF,27,LILB,16,16,1,0,0,0,4,2,0,0,0,0,4.0,149,97,52,11,8,,2016,defense
Paul Posluszny,JAX,32,MLB,16,16,1,0,0,0,3,,,,,,1.5,133,97,36,8,3,,2016,defense
Johnathan Cyprien,JAX,26,SS,16,16,0,0,0,0,4,1,0,1,0,0,1.0,127,96,31,3,1,,2016,defense
Christian Kirksey,CLE,24,RILB,16,16,0,0,0,0,3,,,,,,2.5,148,96,52,11,7,,2016,defense
Antoine Bethea,SFO,32,SS,16,16,1,0,0,0,3,1,0,1,5,0,0.0,110,95,15,3,1,,2016,defense
Sean Lee*+,DAL,30,RLB,15,15,0,0,0,0,1,0,0,1,0,0,0.0,145,93,52,12,2,,2016,defense
Zach Orr ,BAL,24,RILB,15,15,3,23,0,14,5,1,0,2,0,0,0.0,133,92,41,6,1,,2016,defense
Mark Barron,LAR,27,LLB,16,16,2,8,0,7,8,0,0,1,0,0,1.0,118,91,27,7,3,,2016,defense
Mason Foster,WAS,27,RILB,16,13,0,0,0,0,3,1,0,0,0,0,1.0,124,89,35,9,5,,2016,defense
Malcolm Smith,OAK,27,RLB,15,14,1,0,0,0,3,2,0,1,1,0,0.0,103,86,17,3,2,,2016,defense
Bobby Wagner*+,SEA,26,MLB,16,16,1,9,0,9,3,0,0,1,0,0,4.5,167,85,82,7,18,,2016,defense
Preston Brown,BUF,24,RILB,16,16,0,0,0,0,1,1,0,2,0,0,1.0,139,79,60,5,3,,2016,defense
Jamie Collins,2TM,27,,15,14,2,31,0,18,3,2,0,0,0,0,3.0,112,79,33,8,8,,2016,defense
Bradley McDougald,TAM,26,FS,16,16,2,32,0,32,10,0,0,1,6,0,0.0,91,79,12,3,0,,2016,defense
Benardrick McKinney,HOU,24,RILB,16,16,0,0,0,0,2,1,0,0,0,0,5.0,129,79,50,8,11,,2016,defense
Tony Jefferson,ARI,24,SS,15,14,0,0,0,0,5,2,0,2,0,0,2.0,96,78,18,13,4,,2016,defense
Lawrence Timmons,PIT,30,RILB,16,16,2,74,0,58,5,1,0,0,0,0,2.5,114,78,36,5,11,,2016,defense
Deion Jones,ATL,22,RILB,15,13,3,165,2,90,11,1,0,0,0,0,0.0,108,75,33,4,2,,2016,defense
Logan Ryan,NWE,25,RCB,16,13,2,46,0,46,11,1,0,0,0,0,1.0,92,74,18,2,3,,2016,defense
Tavon Wilson,DET,26,SS,15,14,2,23,0,18,2,0,0,2,-2,0,1.0,89,74,15,4,1,,2016,defense
Vontaze Burfict,CIN,26,RLB,11,11,2,54,0,47,8,1,0,0,0,0,2.0,101,73,28,5,4,,2016,defense
Thomas Davis*,CAR,33,RLB,16,16,3,35,0,31,4,1,0,2,46,1,2.5,106,73,33,5,5,,2016,defense
Byron Jones,DAL,24,FS,16,16,1,7,0,7,10,1,0,0,0,0,0.0,88,73,15,3,0,,2016,defense
Avery Williamson,TEN,24,RILB,16,16,1,0,0,0,1,1,0,0,0,0,2.0,104,73,31,3,5,,2016,defense
Rodney McLeod,PHI,26,FS,16,16,3,5,0,5,7,1,0,0,0,0,1.0,83,72,11,3,0,,2016,defense
,,,,,,,,,,,,,,,,,,,,,,,2016,defense
Keanu Neal,ATL,21,FS,14,14,0,0,0,0,8,5,0,1,0,0,0.0,106,72,34,2,0,,2016,defense
K.J. Wright*,SEA,27,RLB,16,16,0,0,0,0,5,1,0,1,0,0,4.0,126,72,54,12,8,,2016,defense
Luke Kuechly*,CAR,25,MLB,10,10,1,16,0,16,6,1,0,0,0,0,2.0,102,71,31,6,4,,2016,defense
Craig Robertson,NOR,28,LLB,15,15,1,29,0,29,4,0,0,2,5,0,1.0,115,71,44,6,6,,2016,defense
Morgan Burnett,GNB,27,SS,15,15,2,19,0,19,9,0,0,1,35,0,3.0,93,70,23,3,4,,2016,defense
Derrick Johnson,KAN,34,LILB,13,13,1,55,1,55,3,,,,,,1.0,90,70,20,8,2,,2016,defense
Eric Kendricks,MIN,24,MLB,15,14,1,77,1,77,9,1,0,1,0,0,2.5,109,70,39,9,4,,2016,defense
Kiko Alonso,MIA,26,MLB,15,15,2,70,1,60,4,1,0,4,2,0,0.0,115,69,46,5,6,,2016,defense
